negativereason,text
Bad Flight,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
Can't Tell,@VirginAmerica and it's a really big bad thing about it
Can't Tell,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
Late Flight,@VirginAmerica SFO-PDX schedule is still MIA.
Bad Flight,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
Can't Tell,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
Customer Service Issue,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... ðŸ˜¡ I want free internet
Customer Service Issue,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
Can't Tell,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
Bad Flight,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
Flight Booking Problems,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems ðŸ˜¢"
Customer Service Issue,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
Customer Service Issue,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
Customer Service Issue,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
Flight Booking Problems,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
Flight Booking Problems,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
Customer Service Issue,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
Customer Service Issue,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
Late Flight,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
Lost Luggage,@VirginAmerica everything was fine until you lost my bag
Flight Attendant Complaints,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
Customer Service Issue,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
Customer Service Issue,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
Late Flight,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
Can't Tell,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
Can't Tell,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
Flight Booking Problems,@VirginAmerica Iâ€™m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
Can't Tell,@VirginAmerica Why is the site down?  When will it be back up?
Cancelled Flight,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
Late Flight,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
Customer Service Issue,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
Customer Service Issue,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
Can't Tell,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
Flight Booking Problems,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
Customer Service Issue,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
Late Flight,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
Late Flight,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
Late Flight,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
Customer Service Issue,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
Flight Booking Problems,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
Late Flight,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
Customer Service Issue,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
Flight Booking Problems,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
Customer Service Issue,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
Customer Service Issue,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
Customer Service Issue,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
Can't Tell,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
Cancelled Flight,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
Late Flight,@VirginAmerica Another delayed flight? #likingyoulessandless
Customer Service Issue,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
Flight Booking Problems,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
Flight Attendant Complaints,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
Late Flight,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
Cancelled Flight,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
Flight Booking Problems,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
Customer Service Issue,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
Cancelled Flight,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
Flight Booking Problems,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
Late Flight,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
Cancelled Flight,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
Bad Flight,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
Customer Service Issue,@VirginAmerica is the website down?
Customer Service Issue,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
Customer Service Issue,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
Customer Service Issue,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
longlines,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
Can't Tell,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
Customer Service Issue,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
Customer Service Issue,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
Cancelled Flight,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
Customer Service Issue,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
Cancelled Flight,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
